,node,in_degree_weighted,in_degree,out_degree_weighted,out_degree
999,999,15,15,0,0
1000,1000,9,9,18,18
1001,1001,3,3,0,0
1002,1002,27,53,37,37
1003,1003,9,21,-198,200
1004,1004,22,24,41,41
1005,1005,12,12,1,1
1006,1006,-8,20,4,6
1007,1007,8,14,0,0
1008,1008,12,18,4,4
1009,1009,2,2,1,1
1010,1010,3,7,1,1
1011,1011,16,24,3,5
1012,1012,1,1,5,5
1013,1013,-7,29,6,6
1014,1014,6,18,0,0
1015,1015,-71,89,9,9
1016,1016,28,28,1,1
1017,1017,-2,6,0,0
1018,1018,1,1,0,0
1019,1019,2,2,9,9
1020,1020,1,1,0,0
1021,1021,14,38,19,21
1022,1022,1,11,2,2
1023,1023,24,36,57,117
1024,1024,0,6,0,0
1025,1025,-2,18,1,1
1026,1026,1,1,10,10
1027,1027,-5,19,3,3
1028,1028,6,24,0,0
1029,1029,6,14,0,0
1030,1030,22,58,-2,2
1031,1031,4,6,9,9
1032,1032,5,7,3,5
1033,1033,-6,16,0,0
1034,1034,2,8,4,4
1035,1035,50,66,29,29
1036,1036,-12,30,2,4
1037,1037,4,18,-128,136
1038,1038,4,6,3,3
1039,1039,-3,9,0,0
1040,1040,4,8,0,0
1041,1041,2,4,13,13
1042,1042,9,9,194,194
1043,1043,4,10,-37,37
1044,1044,-23,37,6,6
1045,1045,0,0,-3,11
1046,1046,-71,73,-1,1
1047,1047,69,191,0,0
1048,1048,0,4,3,3
1049,1049,-2,18,2,4
1050,1050,22,76,-1,17
1051,1051,-40,72,13,13
1052,1052,1,1,0,0
1053,1053,2,8,0,0
1054,1054,0,0,1,1
1055,1055,0,4,1,1
1056,1056,5,9,31,31
1057,1057,4,12,2,8
1058,1058,-53,79,19,23
1059,1059,15,19,46,48
1060,1060,26,46,10,10
1061,1061,2,2,0,0
1062,1062,2,4,0,0
1063,1063,-14,56,31,31
1064,1064,13,13,0,0
1065,1065,26,40,-36,50
1066,1066,12,38,0,0
1067,1067,5,31,157,161
1068,1068,20,24,-3,75
1069,1069,-2,8,0,2
1070,1070,29,65,117,117
1071,1071,35,35,26,26
1072,1072,1,5,4,4
1073,1073,2,26,4,4
1074,1074,0,84,41,41
1075,1075,1,1,1,1
1076,1076,13,15,-79,79
1077,1077,31,57,14,24
1078,1078,-4,16,0,0
1079,1079,20,26,0,0
1080,1080,1,13,0,0
1081,1081,1,7,13,13
1082,1082,1,1,0,0
1083,1083,6,6,2,2
1084,1084,1,1,0,0
1085,1085,13,33,1,1
1086,1086,2,2,3,3
1087,1087,1,1,0,0
1088,1088,1,1,0,0
1089,1089,1,1,0,0
1090,1090,1,35,29,29
1091,1091,6,6,177,177
1092,1092,0,0,3,3
1093,1093,9,37,0,0
1094,1094,3,3,0,0
1095,1095,1,1,0,0
1096,1096,1,1,0,0
1097,1097,0,0,1,1
1098,1098,7,7,2,2
1099,1099,4,4,0,0
1100,1100,0,0,2,2
